direction,方向; 指示
director,董事;局長;主任;導演
disagree,不一致;不符
disagreement,意見不一;不一致
disappear,消失
discuss,討論
discussion,討論
dishonest,不誠實的
display,展覽;陳列
distance,使疏遠;距離
distant,遠離的
divide,分開;除以;分歧;不和;分水嶺
division,區域;部分;除(法)
dizzy,暈眩的
dolphin,海豚
donkey,驢子
dot,點綴; 打點;加點;小圓點
double,雙重的
doubt,懷疑
doughnut,油炸圈餅
downtown,城市商業區的
drag,拉;拖
dragon,龍
dragonfly,蜻蜓
drama,戲劇
drawer,抽屜
drawing,描繪;素描;製圖;抽籤;提款
dress,穿著;洋裝
drop,(使)滴落;丟下
drug,使服麻醉藥;使服毒品;藥品;毒品
drugstore,(常兼售雜貨的)藥房
drum,打鼓;咚咚地敲;鼓
dryer,烘衣機
dull,晦暗的;無光澤的
dumb,愚笨的;啞的
dumpling,餃子
duty,義務;關稅
earn,賺到
earthquake,地震
eastern,東方的
education,教育
effect,造成;招致;效力;作用
effective,有效的
effort,努力
elder,長輩
elect,選定的;當選的
element,要素;成分
elevator,電梯;升降機
emotion,情緒
encourage,鼓勵;助長
encouragement,鼓勵;獎勵;促進
ending,結局;結尾;終結;字尾
enemy,敵人
energy,精力;能量
enjoy,喜歡;享受
enjoyment,樂趣;享受
entire,全部的;整個的
entrance,入口
envelope,信封
environment,環境
eraser,橡皮擦
error,錯誤
especially,特別地
event,事件
exact,確切的;精確的
excellent,非常好的
excite,使興奮;使激動
excitement,刺激;興奮;激動
excuse,原諒;借光;藉口
exercise,鍛鍊;操練;練習;運用;行使;運動;習題
exist,存在
expect,期待
expensive,貴的
experience,經歷;感受
expert,熟練的;老練的;專家的;專家;能手
explain,解釋
express,快遞的;快運的;明確的;表示
extra,額外地;另外;特別地;非常地
eyebrow,眉;眉毛
fail,失敗;不及格
failure,失敗
fair,公平地;公正地;正面地;商品展覽會
famous,著名的
fault,挑...的毛病;產生斷層;過錯
favor,支持;擁護;有利於;偏愛;偏袒
favorite,最喜愛的
fearful,可怕的;害怕的
fee,費用
fellow,伙伴;同事
female,女性的
fence,用柵(或籬)圍起來;防護;保衛;柵欄;籬笆
festival,節日
fever,發燒
field,原野;田賽場地;野外
fighter,戰士;鬥士
figure,估計;描繪;外形;數字;圖表;(溜冰等)花式
film,把...拍成電影;生薄膜;膠捲;影片
fireman,消防隊員
firewoman,女消防隊員
firm,穩固地;牢固地
fisherman,漁夫
fit,適合的;恰當的;相稱的;能勝任的
fix,困境;窘境;賄賂;定位;修理
flag,打旗號表示;衰退;低落;旗子
flash,閃光;閃爍
flashlight,手電筒
flat,平直地;仰臥地;恰恰;正好;斷然地
flight,飛行
flood,洪水;水災;淹沒;使泛濫
flour,撒粉於;把...磨成粉;麵粉
flow,流動
flu,流行性感冒
flute,用長笛奏(樂曲);橫笛
focus,集中;焦點
foggy,有霧的
following,接著的;其次的;下面的;在...以後;一批追隨者;下列事物(或人員
fool,愚弄;呆子
foolish,愚蠢的
football,美式足球
foreigner,外國人
forgive,原諒
form,形態;表格;形成
formal,正式的
former,前者
forwards,向前;往後;今後;提前地;轉遞;前鋒
fox,狐狸
frank,坦白的
freedom,自由
freezer,冰箱的冷凍部;冷凍箱
fridge,電冰箱
friendly,友善的
fright,驚嚇;恐怖
frighten,害怕;吃驚
function,功能;作用;函數
further,更遠地;進一步地;促進;助長;而且;再者;另外的
future,未來的;將來的;將來(時)的;未來
gain,獲得;增加;獲利;收益
garage,車庫
garbage,垃圾
gardener,園丁;花匠
gate,柵門;登機門
gather,集合
generous,慷慨的
gentle,溫柔的
gentleman,紳士
geography,地理
giant,巨大的;巨人
giraffe,長頸鹿
glove,手套
glue,黏住;緊附;膠;膠水
goal,目標;球門
goat,山羊
golden,金色的
golf,高爾夫球
govern,統治;管理
government,政府
grade,年級;分數
grape,葡萄
grassy,長滿草的;似草的
greedy,貪心的
greet,問候;致敬
growth,成長;發育;增大
guard,保衛;看守;警衛
guava,番石榴
guitar,吉他
guy,傢伙;人
habit,習慣
hall,大廳;講堂
hamburger,漢堡
hammer,敲打
handkerchief,手帕
handle,處理;搬弄;把手
handsome,英俊的
hang,把…掛起;吊
hanger,衣架
hardly,幾乎不;簡直不
hateful,可恨的;充滿憎恨的
healthy,健康的
heater,暖氣機
height,高度
helpful,有益的
hen,母雞
hero,英雄
heroine,女英雄;女傑
hide,躲;隱藏
highway,公路;幹道
hip,臀部
hippo,河馬
hippopotamus,河馬
hire,租用;雇用
hobby,嗜好
holder,持有者;支托物
homesick,想家的
honest,誠實的
honey,蜂蜜;心愛的人
hop,單足跳;跳躍;麻藥(尤指鴉片)
hospital,醫院
host,主人
hostess,女主人
hotel,旅館
however,無論如何;不管怎樣
hum,哼曲子;嗡嗡聲
humble,使謙卑;使威信掃地;謙恭的;微賤的
humid,潮濕的
humor,幽默
hunger,饑餓
hunt,追獵;打獵;搜尋
hunter,獵人
hurry,趕快
icebox,冷藏庫;冰箱
ignore,不理睬
ill,生病的;惡劣地;困難地;不利地;不幸;禍害
imagine,想像
importance,重要性
improve,改善
improvement,改進;改善
include,包含
income,收入
increase,增加;增強
increasingly,漸增地
independence,獨立;自主;自立
independent,獨立的
indicate,指出
industry,企業;行業
influence,影響;感化;左右
