absolute,絕對的;完全的
troublesome,麻煩的;棘手的
unique,獨特的
universal,宇宙的;通用的
urban,城市的
urgent,緊急的;急迫的
vain,愛虛榮的;徒然的
vast,廣闊的;浩瀚的;非常的
very,正是;恰好是;僅僅
virgin,未玷污的
visual,視力的;光學的
vital,充滿活力的;致命的
voluntary,自願的
weekly,每週的;一週一次的
yearly,每年的;按年的
youthful,年輕的;富青春活力的
abandon,放棄
absorb,吸收(液體;氣體;光;聲等)
access,取出(資料);使用;接近
accompany,陪同;伴隨
accomplish,完成;實現;達到
accuse,指控
acquaint,使認識;使熟悉
acquire,取得;獲得
adapt,使適應;使適合
adjust,校準;調整;適應
alert,向...報警;使警覺
amuse,逗...高興
analyze,分析
annoy,惹惱;使生氣;使煩惱
apologize,道歉
appoint,任命;指派
arch,使成弧形;拱起
arise,升起
arouse,喚起;激動;叫醒
assemble,集合;召集
assign,分配;分派
associate,聯想;把...聯想在一起
assume,假定
assure,向...保證;擔保
attach,裝上;貼上;使附屬
await,等候;期待
backpack,把...放入背包; 背負簡便行李旅行
bankrupt,使破產;使赤貧
bargain,討價還價
blend,使混和
blink,眨眼睛;閃爍
bloom,開花;興盛
blossom,開花;發展成
blush,臉紅
boast,吹牛;誇耀
bond,以...作抵押;使...黏合
bounce,彈起;彈回
breed,使繁殖;飼養
broil,烤;炙
calculate,計算
campaign,參加競選
carve,刻;雕刻
catalog,將...編入目錄
catalogue,為...編目;登記;記載
cease,停止;終止
cement,黏緊;黏牢
cherish,撫育;愛護
chirp,鳥發啾聲;蟲發唧聲;人嘁喳說話
circulate,流通;發行
clarify,澄清;闡明
clash,砰地相碰撞
classify,將...分類
climax,使達到頂點(或高潮)
code,為...編碼
collapse,倒塌
comment,評論
commit,使作出保證;犯(罪);做(錯事等)
complicate,使複雜化
compose,作(詩;曲等);構(圖)
concentrate,濃縮;全神貫注
concrete,使凝固;使結合
confess,坦白;供認;承認
confine,限制;使局限
congratulate,祝賀;恭禧
conquer,克服;征服
consist,組成;構成
constitute,構成;組成
construct,建造;構成
consult,與...商量
consume,消耗;花費;耗盡
content,使滿足
contest,競爭;角逐;爭辯
contrast,使對比;使對照
contribute,捐獻;捐助;貢獻;出力
converse,交談;談話
convey,運送;傳達
convince,使信服;說服
cooperate,合作;協作;(事物)配合
cope,競爭
cork,用軟木塞塞住;抑制
correspond,符合;一致
counter,反對;反擊
crack,砸開
cram,把...塞滿;死記硬背
cripple,使成跛子;使殘廢
criticize,批評;批判;苛求
crush,壓碎;壓壞
cube,使成立方形;切成小方塊
cue,給...暗示
curl,使(頭髮)捲曲
curse,詛咒;咒罵
curve,使彎曲;使成曲線
cushion,緩和...的衝擊
damn,罵...該死;咒罵
damp,使潮濕;使沮喪;抑制
declare,宣佈;宣告
decrease,減少
defeat,戰勝;擊敗
defend,防禦;保衛;保護
delight,使高興
demand,要求;請求
demonstrate,示範操作(產品);展示
depart,起程;出發;離開;離去
depress,使沮喪
deserve,應受;該得
devise,設計;發明
devote,將...奉獻
differ,不同;相異
digest,消化(食物)
disadvantage,使處於不利地位
discipline,懲戒
disconnect,切斷(電話、電源等)
discourage,使洩氣;使沮喪
disguise,掩飾;隱瞞
disgust,使作嘔
dismiss,解散;遣散;解雇;開除
disorder,使混亂;擾亂
dispute,爭論;爭執
distinguish,區別;識別
distribute,分發;分配
disturb,妨礙;打擾
divorce,與...離婚;使離婚
dominate,支配;統治;控制
download,下載
doze,打瞌睡;打盹
draft,起草;設計
dread,懼怕;擔心
drift,漂;漂流
drill,鑽(孔);在...上鑽孔
dye,把...染上顏色
eliminate,排除;消除
electronic mail,電子郵件
e-mail,傳送電子郵件
embarrass,使困窘
emerge,浮現;出現
enclose,圍住;圈起
encounter,遭遇(敵人);遇到(困難;危險等)
endanger,危及;使遭到危險
endure,忍耐;忍受
enforce,實施;執行
enlarge,擴大;擴展
entertain,招待;款待
equip,裝備;配備
establish,建立;設立
estimate,估計;估量
evaluate,對...評價
evidence,顯示;表明
exaggerate,誇大;對...言過其實
exhaust,使精疲力盡
exhibit,展示;陳列
expand,展開;張開
explore,探測;探勘
expose,使暴露於
extend,延長;延伸
feast,盛宴款待
ferry,用渡船運送
fetch,(去)拿來
finance,籌措資金
flatter,諂媚;奉承
flee,逃離;逃避
flunk,失敗;不及格
flush,湧;湧流;用水沖洗
foam,起泡沫
forbid,禁止;不許
forecast,預測
frame,給...裝框子
frost,結霜於
frown,皺眉;表示不滿
fuel,加燃料;加油
fulfill,履行(諾言等)
furnish,給(房間)配置(傢俱等);供應;提供
gaze,凝視;注視;盯
gear,使適應;使適合
giggle,咯咯地笑;傻笑
glide,滑動;滑行
glimpse,看一眼;瞥見
grace,使優美
grieve,使悲傷;使苦惱
grind,磨(碎)
guarantee,保證;擔保
halt,停止;終止
harden,使變硬;使變堅固
hasten,催促;加速;趕緊
herd,放牧
honeymoon,度蜜月
hook,用鉤鉤住
horrify,使恐懼;使驚懼
hose,用軟管淋澆
host,主辦;主持;以主人身分招待
identify,確認;識別
idle,空轉
illustrate,(用圖;實例等)說明
imitate,模仿
immigrate,遷移;遷入
impact,壓緊;擠滿
imply,暗指;暗示;意味著
industrialize,使工業化
infect,傳染;侵染;感染
initial,簽姓名的首字母於;草簽
input,將(資料等)輸入電腦
insert,插入;嵌入
inspire,鼓舞
install,安裝;設置
instruct,指示
insult,侮辱;羞辱
intend,想要;打算
intensify,加強;增強
interact,互相作用
interfere,介入;干涉;干預
intermediate,作中間人;干預
interpret,解釋
invade,侵入;侵略
invest,投(資)
involve,使捲入;連累;牽涉
isolate,使孤立
itch,發癢
knuckle,用指關節敲打
labor,勞動;努力
lag,落後;延遲
landscape,在(一片土地)上造園
launch,發射;開始
lean,倚;靠
lecture,講課;訓斥
license,許可;准許;發許可證給
lighten,使光明;照亮
loan,借出;貸與
manufacture,(大量)製造;加工
mislead,把...帶錯方向;把...引入歧途
misunderstand,誤會;曲解
monitor,監控;監聽;監測
motivate,給...動機;刺激
mow,刈(草坪等)上的草
murmur,私下抱怨;咕噥
neglect,忽視;忽略
negotiate,談判;協商
nevertheless,仍然;不過;然而
obtain,得到;獲得
occupy,佔領;佔據
offend,冒犯;觸怒
oppose,反對
orbit,繞軌道運行
overcome,戰勝;克服
overlook,眺望;俯瞰
overtake,追上;趕上;超過
overthrow,打倒;推翻;廢除
pace,踱步於
parachute,傘降;跳傘
pedal,踩踏板
peer,凝視;盯著看
perfume,使充滿香氣
pioneer,當先驅;成為開拓者
pirate,掠奪;剽竊
plot,密謀;策劃;標繪
polish,磨光;擦亮
portray,畫;描寫
possess,擁有;持有;具有
predict,預言;預料
preserve,保存;保藏;防腐
privilege,給予...特權
proceed,開始;著手
prompt,提示
prosper,繁榮;昌盛
protest,抗議;反對
publish,出版;發行;刊載
quake,顫抖;震動;搖晃
quilt,加軟襯料後縫製;東拼西湊地編(書)
rage,發怒;怒斥
rebel,造反;反叛
recall,回憶;使想起;召回
recite,背誦;朗誦;詳述
recycle,回收
refer,論及;談到;參考
reflect,反射;照出;映出
reform,改革;革新
refresh,使得到補充;更新
register,註冊;申報
regulate,為...制訂規章;調節
relieve,緩和;減輕;解除
remark,議論;評論
remedy,補救;糾正;去除(弊病等)
rescue,援救;營救
research,調查;探究
resemble,像;類似
resign,放棄;辭去
resolve,解決;解答;使分解
restore,恢復
retain,保留;保持
retire,退休;退役
retreat,撤退;退卻
revenge,替...報仇
revise,校訂;更改
reward,酬謝;獎勵
rhyme,押韻
route,給...定路線
ruin,毀滅
sacrifice,犧牲;獻出
salary,給...薪水
scold,罵;責罵
scratch,抓;搔
sculpture,雕刻
shelter,遮蔽;庇護
shift,轉移;移動
shrug,聳(肩)
shuttle,短程穿梭般運送
site,為...選址;設置
sketch,寫生;速寫;為...繪草圖
sled,乘雪橇
sledge,乘雪橇
sleigh,駕雪橇;用雪橇運輸
slight,輕視;藐視
sneeze,打噴嚏
sob,嗚咽;啜泣
spare,分出;騰出(時間;人手)
spark,發動;點燃
sparkle,發火花;閃耀;煥發
spear,刺;戳
split,劈開;切開
stem,起源於;由...而造成
strengthen,加強;增強
strive,努力;苦幹;奮鬥;反抗;鬥爭
stroke,畫短線於
summarize,總結;概述;概括
surf,衝浪;在網路或頻道上搜索資料
surrender,使投降;使自首
sway,搖動;搖擺;影響
tap,輕拍;輕叩
