absolute,絕對的;完全的
peer,同輩;同事
penalty,處罰;刑罰;罰款
percent,百分之一
percentage,百分率;百分比
perfection,完美;盡善盡美
perfume,香水;香料
persuasion,說服;勸說
petal,花瓣
phenomenon,現象
philosopher,哲學家
philosophy,哲學
photography,照相術;攝影術
physician,醫師
physicist,物理學家
physics,物理
pianist,鋼琴家;鋼琴演奏者
pickpocket,扒手
pioneer,拓荒者
pirate,海盜;劫掠者
plot,陰謀;標繪圖
plural,複數
polish,磨光;擦亮
pollution,污染
popularity,普及;流行;聲望
porter,搬運工人;腳夫
possession,擁有;佔有;所有物
pregnancy,懷孕
preposition,介系詞;前置詞
presentation,贈送;呈現;介紹;引見
preservation,維護;維持;保存;保藏;防腐
prevention,預防;防止
prime,最初;初期
privacy,祕密;私下
privilege,特權;優特
procedure,程序;手續;步驟
production,製造;生產
profession,職業同行
professional,專家;內行
professor,教授
promotion,提升;晉級
prompt,催促;提醒
pronoun,代名詞
pronunciation,發音;發音法;讀法
prosperity,興旺;繁榮;昌盛;成功
protein,蛋白質
protest,抗議;異議
proverb,諺語;俗語
psychologist,心理學家
psychology,心理學
publication,出版;發表;宣佈
publicity,名聲;宣傳
publisher,出版商
pursuit,追蹤;追擊
quake,地震;顫抖;搖晃
quilt,被(子);被褥
quotation,引用;引證;引文
rage,狂怒;盛怒
rainfall,降雨;下雨;降雨量
rebel,造反者;反抗者
recall,回想;收回
reception,接待;接見;接待處
recipe,食譜
recognition,認出;識別;承認
recovery,恢復;復甦;復元;痊癒
recreation,消遣;娛樂
reduction,減少;削減
reference,參考文獻;出處;提及
reflection,反射;回響
reform,改革;改良
refugee,難民;流亡者
refusal,拒絕
register,登記;註冊
registration,登記;註冊;掛號
regulation,規章;規則;規定;條例
rejection,拒絕;退回
relative,親戚
relaxation,緩和;放寬;減輕
remark,言辭;談論;評論
remedy,治療;治療法;藥物
repetition,重複;反覆
representation,代表;代理
reputation,名譽;名聲
rescue,援救;營救
research,(學術)研究;調查;探究
researcher,研究員;調查者
reservation,保留(意見);預訂的房間(或席座)
resignation,辭職;放棄
resistance,抵抗;反抗
resolution,決心;決定;解決
resolve,決心;決意;堅決;剛毅;果斷
restriction,限制;約束;限定;限制規定
retirement,退休
retreat,撤退
reunion,團聚;重聚
revenge,報仇;報復
revision,修訂;校訂;修正
revolution,革命;循環
revolutionary,革命者
reward,報答;報償;獎賞
rhyme,韻;韻腳
rhythm,節奏;韻律
romance,戀愛;風流韻事;愛情小說
route,路;路線;路程
ruin,毀滅;崩潰;廢墟;傾家蕩產
sacrifice,牲禮;祭品
salary,薪資;薪水
salesman,售貨員
salesperson,店員;售貨員
saleswoman,女店員;售貨員
satellite,衛星
satisfaction,滿意;滿足
scenery,風景
scold,責罵
scratch,抓痕;擦傷
screwdriver,螺絲刀;螺絲起子
sculpture,雕刻品;雕塑品;雕
seagull,海鷗
senior,資深人士;(大學)四年級生
settler,殖民者;開拓者
shaver,理髮師
shelter,遮蓋物;避難所
shift,移動
shrug,聳肩
shuttle,(織機的)梭;短程運行的車輛
sightseeing,觀光;遊覽
significance,重要性;重要
sincerity,真實;誠心誠意
singular,單數
site,地點;場所
sketch,速寫;素描
sled,平底雪橇
sledge,雪橇
sleigh,(輕便)雪橇
slight,輕蔑;怠慢
slogan,口號;標語
smog,煙霧
sneeze,噴嚏
sob,嗚咽(聲);啜泣(聲)
socket,插座;插口
software,軟體
sophomore,(大學;高中的)二年級學生
souvenir,紀念品;紀念物
spare,備用品;備用零件
spark,火花;火星
sparkle,火花;閃耀;閃光
sparrow,麻雀
spear,矛;魚叉
species,種類;種
split,分裂;分割
sportsman,運動家;願意冒險的人
sportsmanship,運動員精神;運動道德
sportswoman,女運動家
status,狀況;狀態
stem,莖;(樹)幹;(葉)柄
stroke,中風;打;擊;(寫字;繪畫的)一筆
submarine,潛艇
suggestion,建議;提議
surf,海浪
surgeon,外科醫生
surgery,(外科)手術
surrender,投降;自首
surroundings,周圍的事物;周圍的情況
sway,搖動;搖擺;影響
syllable,音節
sympathy,同情;同情心;弔唁
symphony,交響樂;交響曲
syrup,糖漿
technician,技術人員;技師
telegram,電報
telegraph,電報;電信
telescope,望遠鏡
tendency,傾向;癖性
tension,緊張;張力
terror,恐怖;驚駭
theme,主題思想;題材
tolerance,寬容;寬大
tomb,墓;墓碑
tragedy,悲劇
transfer,移交;轉讓
translation,譯文;譯本
translator,譯者
transportation,運輸;輸送;交通車輛
triumph,勝利
tug-of-war,拔河
twinkle,閃爍;閃耀
typist,打字員
underpass,地下通道
unique,獨一無二的人(或事物)
universal,普通性;普遍現象
university,大學
urge,強烈的慾望
usage,使用;用法
vegetarian,素食者
verb,動詞
vessel,船;艦;器皿;血管
vinegar,醋
violation,違反;違背
virgin,處女
virtue,美德;優點
virus,病毒
volcano,火山
volunteer,志願者;義工
vowel,母音字母
voyage,乘船旅遊; 空中旅行
walnut,胡桃;胡桃色
website,網站
weekly,週刊;週報
welfare,福利;社會救濟
wit,機智;風趣
witch,女巫;巫婆
witness,目擊者;證詞;證據
wizard,奇才;高手;男巫
wreck,(船等的)失事;遇難
wrinkle,皺;皺紋
yogurt,優格
