dig,刺;戳;碰;挖苦;挖掘
dinner,晚餐
direct,直接的;指引;筆直地;直接地;直達地
dirty,骯髒的;弄髒; 變髒
discover,發現
dish,盤子;一盤菜;盛...於盤中
do,做;構成否定句;疑問句;或強調句
dog,狗
doll,洋娃娃
dollar,美元
door,門
dove,鴿
down,情緒低落;消沈;(分期付款的)第一期的;向下;下降;(境況)變差;減少;減弱;擊倒
downstairs,樓下的
dozen,一打
draw,平局;平手;畫;繪製;描寫
dream,夢;做(夢);想像
drink,飲料;喝
drinking,喝酒
drive,兜風;車程;幹勁;比賽;開車
driver,司機
dry,乾的;曬乾;風乾
duck,鴨;躲避;迴避
duckling,小鴨
during,在…期間
each,每個
eagle,老鷹
ear,耳朵
early,早的;提早的
earth,地球;土地
ease,容易;不費力;舒適;悠閒;放鬆;緩和;減輕
east,東方的
easy,容易的
eat,吃
edge,邊緣;優勢;使鋒利;使漸進
egg,蛋
eight,八
eighteen,十八
eighty,八十
either,兩者之一;也;或者(和or連用)
elephant,大象
eleven,十一
else,其他;另外;否則;要不然
end,盡頭;結局;結束
English,英格蘭的;英國的;英國人的;英語的
enough,足夠的充分地
enter,輸入;進入
equal,相等的; 平等的;等於
even,均勻的;偶數的;平手的;使平坦;弄平;使相等
evening,傍晚
ever,從來;曾經
every,每一個的
exam,考試
examination,檢查;調查
examine,檢查;測驗
example,例子
except,除…之外
excepting,除...之外
eye,眼睛
face,臉;面向;正對;正視;朝;向
fact,事實
factory,工廠
fall,秋天;掉下
false ,假的
family,家庭
fan,扇;煽動;激起;風扇;扇子;迷友
far,遠的
farm,農場;耕作;養殖;經營農場;從事畜牧業
farmer,農夫
fast,快的
fat,胖的;(動;植物)脂肪;油脂
father,父親
fear,懼怕
February,二月
feed,(動物或嬰兒的)一餐;飼料;吃;餵養
feel,觸覺;手感;觸;摸;感覺;氣氛
feeling,感覺
few,少數的;一些
fifteen,十五
fifty,五十
fight,打架;戰鬥
fill,填滿的量;裝填物
final,最終的;決賽;期末考;(當日報紙的)末版
find,發現;發現物;找到
fine,好的; 罰金;罰款
finger,手指;撥弄;指出;告密;告發
finish,結束;(傢具等)末道漆;完成
fire,火;解雇;開除;點燃; 開火;射擊
first,第一的;先;首先;第一;首次
fish,魚;釣魚
five,五
floor,地板;樓;室內地上;在...鋪設地板;使大為震驚
flower,花;開花;發育;成熟;繁榮
fly,蒼蠅;飛
fog,霧;以霧籠罩;使困惑;使模糊
follow,遵循;跟隨
food,食物
foot,腳;一尺長;支付(帳單或費用);合計為;總計
for,因為;由於;為…做的;給
force,力量;暴力;強迫
foreign,外國的;陌生的;外來的
forest,森林
forget,忘記
fork,叉子;分歧;分叉
forty,四十
four,四
fourteen,十四
free,空閒的;自由的;免費的;無約束地;使自由;解放;使解脫
fresh,新鮮的
Friday,星期五
friend,朋友
frog,青蛙
from,從
front,前面的;正面的;向前;在前面;面對
fruit,水果;結果實; 使結果實
full,飽的;滿的
fun,樂趣
funny,可笑的;滑稽的
game,比賽;遊戲
garden,花園
gas,放出氣體;加油;空談;吹牛;瓦斯;汽油
general,普遍的
get,得到;拿到
ghost,鬼
gift,禮物
girl,女孩
give,給
glad,高興的
glass,玻璃杯;玻璃
glasses,眼鏡
go,去;走;輪到的機會;嘗試;
god,上帝
goddess,女神
gold,金製的;黃金
good,好的;利益;好處;優點
good-by,告別;再見;道別的話
good-bye,告別
goose,鵝
gran,雄偉的;總的
grandchild,孫子;孫女;外孫;外孫女
granddaughter,孫女;外孫女
grandfather,祖父;外祖父
grandma,祖母;外祖母
grandmother,祖母;外祖母
grandpa,祖父;外祖父
grandson,孫子;外孫
grass,草
gray,灰色的
great,很棒;偉人們;大人物們
green,綠色的
grey,灰色
ground,地面
group,一群;把...分組(或歸類)
grow,種植;成長
guess,猜測
guest,客人;款待;招待
guide,嚮導;引導
gun,槍;用槍射擊
hair,頭髮
haircut,理髮
half,一半的;二分之一的;不完整的
ham,火腿
hand,手;面交;給;傳遞
happen,發生
happy,快樂的
hard,硬的;難的;辛苦地;猛烈地;牢固地
hat,帽子
hate,仇恨;憎恨;厭惡
have,已經;有
head,頭;首長;率領;出發;駛往
health,健康
hear,聽見
heart,心臟
heat,熱氣;把...加熱;使暖;使激動;刺激
heavy,重的
hello,表示問候的叫聲
help,幫助;幫手;助手
here,在這裡
high,高的;高;強烈地;高聲地
hill,丘陵
history,歷史
hit,打擊;成功而風行一時的事物;安打
hold,抓住;握住;延遲;延期;耽擱;拿著
hole,洞;鑿洞於;穿孔於;進入洞中
holiday,假日
home,家庭的;國內的;在家;回家;到家
homework,家庭作業
hope,希望;期望
horse,馬
hot,熱的
hour,小時
house,房子
how,如何
huge,巨大的
human,人類
hundred,一百
hungry,飢餓的
hurt,(精神上的)創傷;傷;痛
husband,丈夫
ice,冰
idea,主意
if,如果
important,重要的
in,在裡面的
inch,英吋
inside,裡面的;內側的;內幕
interest,興趣
into,進入
iron,鐵的;剛強的;殘酷的;熨斗
is,是;在; be 動詞第三人稱;單數;現在式
January,一月
job,職業;工作
join,接合點;接連處;加入
joke,笑話;開玩笑
joy,歡喜;樂趣
juice,果汁
July,七月
jump,跳躍;暴漲
June,六月
just,正直的;公平的;應得的;正確的;正好;剛才
keep,生活費;生計;保留;保持
keeper,保管人;守衛
key,重要的;基本的;關鍵的;鑰匙
kick,踢;反衝;後座力;刺激;快感
kid,小孩
kill,獵獲物;屠殺
kind,仁慈的;種類
king,國王
kiss,吻
kitchen,廚房
kite,風箏
kitten,小貓
kitty,小貓
knee,膝蓋
knife,刀子
know,知道
lack,缺乏
lady,淑女
lake,湖
lamb,小羊
lamp,燈
land,陸地;登陸
large,大的
last,最後的
late,晚的;遲的
laugh,笑;笑聲
law,法律
lay,置放;產卵
lazy,懶惰的
lead,引導;指導;領先地位;線索;鉛筆心
leader,領袖
leaf,樹葉
learn,學習
least,最小的;最少的;最不重要的
leave,准假;休假
left,左邊的
leg,腿
less,較少的
lesson,課;教訓
let,讓
letter,信;字母
level,水平的;平的;筆直的
lie,謊言
life,人生;生命
lift,提;吊;升;鼓舞
light,輕的;光線;燈;點(火);點燃;照亮
like,像;如;喜歡
likely,有可能的
lily,百合花
line,線;隊伍;排隊
lion,獅子
lip,嘴唇
list,單子;列表
listen,傾聽
little,很少的
live,活的;有生命的;燃著的;實況播送的;居住
long,長的
look,看;瞥
lot,很多;多數;一批;一塊地
loud,大聲的
love,愛
low,低的;矮的;低水平;低點;;低速
lucky,幸運的
lunch,午餐
luncheon,午餐;(正式的)午餐會
ma,媽
machine,機器
mad,發火;發瘋;發狂的
mail,信件;寄信
make,製造; 使得
mama,(兒語)媽媽
man,男人; 人類
many,很多的
map,地圖;繪製...的地圖;詳細計劃
market,市場
marry,結婚
master,主人;精通
matter,事情
May,五月
may,可能
maybe,可能;也許
mean,意指
meat,肉類
meet,會;競賽大會;遇見
middle,中間的
mile,英哩
milk,牛奶
mind,心智
minute,分鐘;少女;想念;惦記;未達到
mistake,錯誤
mister,先生
mom,母親
moment,片刻
mommy,母親
Monday,星期一
money,錢
monkey,猴子
month,月份
moon,月亮
more,更多的
morning,早晨
most,最多的;大部分的
mother,母親
mountain,山
mouse,老鼠; 滑鼠
mouth,嘴巴
move,移動
movement,動作
movie,電影
much,很多的;非常;很;差不多;幾乎
mud,泥巴
mug,(有柄)大杯子
mummy,木乃伊;(兒語)媽媽
music,音樂
must,必須做的事;不可少的事物
name,名字;給...取名;列舉
nation,國家
nature,自然
near,近的
neck,脖子
need,需要;需求;貧窮
never,永不
new,新的
news,新聞
newspaper,報紙
next,下一個
nice,好的
night,夜晚
nine,九
nineteen,十九
ninety,九十
no,沒有;不
noise,噪音
noisy,喧鬧的
noon,中午
nope,(否定的答話)不是;沒有;不可以
nor,亦不
north,北方的
nose,鼻子
not,不
note,筆記;音符;記錄;便條
nothing,無事;無物;沒什麼
notice,注意;通知
November,十一月
now,現在
number,號碼;數字
nurse,護士
O.K.,可以的;不錯的;很好的
ocean,海洋
o'clock,點鐘
October,十月
of,…的;屬於
off,離去的;偏離的;休假的;關著的
office,辦公室
officer,軍官;官員
often,常常
oil,油
OK,好吧
okay,對;可以;不錯
old,年老的
on,繼續;向前;開著;;在進行中;在…上面
once,一次;一旦;一經...便
one,一個的
only,只;僅僅;才;
open,打開的;空曠的;未定的;營業的;公開的
or,或
orange,橙色的
order,定單;點菜;訂購
other,其他的
out,在外的;託辭;(棒球等)出局;通過...而出
outside,外邊的;外部的
over,在上方;越過;過分;太;再一次
own,自己的;擁有
pa,爸
page,頁
paint,油漆;塗料
pair,一副;成對;配對
pants,褲子
papa,爸爸
paper,紙張
parent,雙親之一
park,公園
part,部份
party,派對;開派對;參加派對
pass,通行證;護照;及格;傳球動作;及格;經過;超過;傳遞;
past,過去的
pay,付錢
payment,支付;付款
pen,原子筆;墨水筆
pencil,鉛筆
people,人們
perhaps,或許;可能
person,人
pet,寵物
piano,鋼琴
picture,圖畫;照片
pie,派(食品)
piece,件;片
pig,豬
place,地方
plan,計畫
plane,飛機
plant,植物;農作物;工廠;栽種;播種
play,遊戲;戲劇;玩
player,遊戲者;運動者;表演者
playground,遊樂場;運動場
please,請;取悅
pocket,口袋
poetry,詩;詩歌;韻文
point,點;要點
police,警察
policeman,警察;警員
pond,池塘
pool,水池;美式撞球
poor,貧窮的
pop,砰的一聲
popcorn,爆米花
position,位置
possible,可能的
power,權力;動力
practice,練習
prepare,準備
pretty,漂亮的;十分地
price,價錢
print,圖片印刷品;出版物
problem,問題
prove,證明;證實
public,公開的;公立的
pull,拉;拖
purple,紫色的
purpose,目的
push,推;推進;奮發;緊迫
put,放置
queen,皇后
question,問題
quick,快;迅速地
quiet,安靜的
quite,完全地;相當
race,競賽;(生物的)種類;與...賽跑
radio,收音機
railroad,鐵路
rain,雨
rainbow,彩虹
raise,加薪;賭注加碼
rat,老鼠
reach,可及之範圍
read,閱讀
ready,準備好的
real,真實的
reason,理由
receive,收到
red,紅色的
remember,記得
report,報告
rest,休息;靜止;安息;休止符;其餘
return,回答;收益;利息;來回票;退貨
rice,稻米;飯
rich,富有的
ride,搭乘;兜風
right,右邊;對的
ring,指環;鈴聲
rise,數量;程度等)增加;上漲;上升
river,河流
road,道路
robot,機器人
rock,岩石;搖滾樂
roof,屋頂
room,房間
rooster,雄雞;狂妄自負的人
root,根
rope,粗繩
rose,玫瑰
round,圓形的;環繞地;一輪;一回合;一場;一局
row,行列
rub,摩擦;擦;阻難;疑難點
rubber,橡膠
rule,規則
run,跑
sad,難過的
safe,安全的
sail,帆;篷;帆狀物;船隻
sale,售賣;賤賣
salt,鹹水的;含鹽的;鹽
same,相同的
sand,沙
Saturday,星期六
save,救;省;存錢
saw,鋸子;鋸條
say,說
scare,驚恐;驚嚇
scene,景色;場面
school,學校
sea,海
season,季節
seat,座位
second,第二的;次要的;副的;從屬的
see,看見
seed,種子
seem,似乎是
seesaw,蹺蹺板
self,自身;自己;自我
selfish,自私的
sell,賣
send,寄發;送
sense,感官;官能
sentence,句子
September,九月
serve,服務
service,服務
set,套;組
seven,七
seventeen,十七
seventy,七十
several,幾個的
shake,搖動;奶昔
shall,將;應該
shape,形狀
shark,鯊魚
sharp,尖銳的;敏銳的
sheep,綿羊
sheet,一張(紙);床單
shine,光;光亮;光澤;擦亮;陽光;晴天
ship,船
shirt,襯衫
shoe,鞋子
shop,商店
shore,岸邊
short,矮的;短的
shot,射擊;開槍;投籃;拍攝
shoulder,肩膀
shout,呼喊;喊叫聲
show,展覽;電影
shut,關閉
shy,害羞的
sick,生病的
side,邊
sight,視力;景象
silly,傻的;無聊的
silver,銀的;銀白的
simple,簡單的
since,此後;之前;以前
sing,唱歌
singer,歌手
sir,先生
sister,姊妹
sit,坐
six,六
sixteen,十六
sixty,六十
size,大小;尺寸
skill,技能
skin,皮膚
sky,天空
sleep,睡眠;死亡;冬眠
slow,緩慢的
small,小的
smart,聰明的
smell,氣味;香味;臭味;嗅覺;一嗅;一聞;少許;跡象;影蹤
smile,微笑
smoke,煙
snake,蛇
snow,雪
so,這麼;也如此
soap,肥皂
soda,蘇打;汽水
sofa,沙發
soft,柔軟的
soil,土;泥土;土壤
some,一些的
someone,某人;有名氣的人
something,某人;某事;重要的人(或事物);
sometimes,有時候
son,兒子
song,歌曲
soon,即刻;不久
sorry,抱歉;遺憾的
soul,soul@(n.4)靈魂
sound,完好的;堅固的;合理的;明智的;殷實的
soup,湯
sour,酸的
south,南方的
space,空位;太空
speak,說;講
special,特別的
speech,言論;演講
spell,拼字
spend,花費(錢或時間)
spoon,湯匙
sport,消遣;運動;突變
stair,梯級;樓梯
stand,攤子;停止;站立； 立場;態度
star,星星;明星
start,出發;開端;啟動
state,狀態；美國的州
statement,陳述;說明;結單
station,車站;場所
stay,停留;逗留;停止;延後;持續力
step,步;臺階
still,靜止的
stone,石頭
stop,車站
store,商店
story,故事;樓層
strange,奇怪的
street,街道
strong,強壯的
student,學生
study,書房
stupid,笨的
such,如此的
sugar,糖
summer,夏天
sun,太陽
Sunday,星期日
super,超級的
supper,晚餐
sure,確定
surprise,意外之事物
sweet,甜的
swim,游泳;暈眩;眼花;潮流
table,桌子;表;目錄
tail,尾巴
take,拿;帶;採用
talk,談話;交談;空話;話題;談判
tall,高的
taste,味道;滋味;體驗;風雅;得體;興趣
taxi,計程車
taxicab,計程車
tea,茶
teach,教
teacher,老師
tell,告訴
ten,十的
than,比較
thank,感謝;謝意;謝辭
that,那;那個
then,當時的
there,在那裡
these, (this 的複數)
thing,事物;東西
think,想
third,第三
thirteen,十三
thirty,三十
this,這
those,那些的;那
though,(一般放在句尾)然而;還是
thought,思想
thousand,千的
three,三
throw,投擲;披巾;(沙發等的)罩單
Thursday,星期四
thus,如此;這樣
ticket,票;罰單
tie,結;領帶;平手
tiger,老虎
till,直到...為止
time,時間;次數
tiny,微小的
tire,輪胎;疲累
to,到;向
today,今天
together,一同
tomorrow,明天
tone,音色;音調;色調
tonight,今夜;今晚
too,也是;過於
tool,工具
top,最高的
total,總的
touch,觸;碰;接觸;潤色;特長;才能;少許
toward,向;對
town,城市
toy,玩具
train,火車
tree,樹木
trip,旅行
trouble,麻煩
true ,真實的;正確的
try,嘗試;努力
T-shirt,短袖圓領運動衫
Tuesday,星期二
turn,)輪到
twelve,十二
twenty,二十
twice,兩次
two,二
uncle,叔叔
under,在下面;在下方;從屬地
understand,了解
unit,單位;單元;組件
up,向上的;上行的
upstairs,樓上的
use,用途
useful,有用的
vegetable,蔬菜
very,很;非常
view,視力;視野;看法
visit,訪問
voice,(人的)聲音
wait,等待;等待的時間
walk,散步;人行道;四壞球保送上一壘
wall,牆
want,需要的東西;必需品;缺乏;匱乏
war,戰爭
warm,溫暖
warming,暖和；加溫
wash,洗;洗滌;要洗的(洗好的)衣服
waste,浪費
watch,手錶
water,水
way,方法;路
weak,虛弱的
wear,穿;戴;佩;磨損
weather,天氣
wedding,婚禮
Wednesday,星期三
