acceptable,可以接受的;令人滿意的
border,毗鄰;接界
bore,使厭煩
brake,煞車;制動
breathe,呼吸
breeze,吹著微風
bubble,沸騰;冒泡
bud,使發芽
budget,把...編入預算
bump,碰;撞
burden,加重壓於
bury,埋葬;安葬
buzz,嗡嗡叫
canoe,用獨木舟載運
capture,捕獲;俘虜
cast,投;擲; 選派...扮演角色
celebrate,慶祝
chain,拘禁;束縛
challenge,對...提出異議
channel,在...開水道;傳送
charm,使陶醉
chat,閒談;聊天
cheer,向...歡呼
chew,咀嚼
chill,使變冷;使打寒顫;使掃興;使沮喪
chip,削;鑿;鏟
choke,使窒息;哽住
chop,砍;劈;斬
click,發出卡嗒(或喀嚓)聲
clip,剪;修剪;剪短;剪除
combine,使結合
comfort,安慰;慰問
command,命令;掌握; 指揮;控制
communicate,傳達;傳遞
compete,競爭;對抗
concern,使擔心
conclude,推斷出;斷定
condition,決定;為...的條件
confuse,使迷惑
connect,連接;連結
contract,締結;訂契約;承包;收縮
couch,使躺下;表達;蹲著;埋伏
cradle,撫育
crash,碰撞;倒下;墜落
crawl,爬行;蠕動
credit,把...記入貸方
creep,躡手躡足地走
crown,為...加冕
cycle,循環;輪轉
dam,築壩於;築壩攔(水)
dare,敢;膽敢
dash,使(希望等)破滅;使沮喪
deafen,使聾;淹沒(聲音)
deepen,使加深;使強烈;使變濃
define,解釋;給...下定義
deposit,放下;放置;寄存
destroy,毀壞;破壞
detail,詳述;詳細說明
determine,決定
diet,節食
dim,變暗淡;變模糊
dine,進餐;用餐
dip,浸;泡
disappoint,使失望
discount,將...打折扣
dislike,不喜愛;厭惡
ditch,掘溝
dive,跳水
dock,靠碼頭;入船塢
dodge,閃開;迴避
dose,(按劑量)給...服藥
drain,排出(液體)
drip,滴下
drown,淹沒;浸濕
dump,傾倒;拋棄
dust,撣去;擦去
echo,發出回聲
edit,編輯;校訂
educate,教育
elbow,用肘推;擠進
emphasize,強調
employ,僱用
empty,倒空;流空
enable,使成為可能
engage,使訂婚;使忙於
envy,羨慕;嫉妒
erase,擦掉;抹去
escape,逃跑;逃脫
exchange,交換;調換;兌換
exit,出去;離去;退去
experiment,進行實驗;試驗
explode,使爆炸
export,輸出
fade,凋謝;枯萎;(顏色)褪去
faint,昏厥;暈倒
fake,偽造;捏造;欺騙;迷惑
fancy,想像;猜想;愛慕(異性)
fashion,把...塑造成
fasten,紮牢;繫緊
fax,傳真傳輸
feature,以...為特色
file,把...歸檔
fist,拳打
flame,發火焰;燃燒
flavor,給...調味
float,浮
flock,聚集;成群地去(或來)
fold,摺疊;對摺
found,建立;建造;鑄造;熔化
freeze,結冰;凝固;凍結
frequent,常到;常去
frustrate,挫敗;阻撓
fry,油炸
fund,提供(事業;活動等的)資金
gamble,賭博;打賭
gang,成群結隊;結夥
gesture,做手勢;用動作示意
glance,看一下;一瞥;掃視
glory,驕傲;自豪
glow,發白熱光;灼熱
gossip,閒聊
grab,攫取;抓取
graduate,畢業
grasp,抓牢;握緊
grin,露齒而笑
harbor,庇護;藏匿
harm,損害;傷害;危害
harvest,收割;收穫
hatch,孵出
headline,給...加標題
heal,癒合;痊癒
heap,裝滿
heel,給(鞋等)裝後跟;緊跟;(船)傾斜
hesitate,躊躇;猶豫
hike,徒步旅行
hint,暗示;示意
hollow,挖空;凹陷
honor,使增光;承兌;支付
hug,摟抱
hush,使沈默;使安靜
import,輸入
impress,給...極深的印象
inform,通知;告知
injure,傷害;損害;毀壞
inspect,檢查;審查
interrupt,打斷(談話和工作等)
investigate,調查;研究
jail,監禁;拘留
jaw,對...嘮叨;責罵
jet,噴出;射出
journey,旅行
junk,把...當廢物丟棄;拋棄
kneel,跪(下)
knight,封...為爵士;授...以爵士位
knit,編織
knot,把...打結;捆紮
label,貼標籤於
lace,用花邊等裝飾
leak,洩漏(祕密等)
leap,跳;跳躍
lengthen,使加長;使延長
litter,亂丟(雜物)
load,裝;裝載
loosen,鬆開;解開
lullaby,唱搖籃曲使入睡
major,主修
manage,主修
march,行軍;把(人)強行帶走
melt,融化;熔化
memorize,記住;背熟
mend,修理;修補
mention,提到;說起
mess,弄髒;弄亂
microwave,用微波爐烹調
mill,碾碎
mist,使蒙上薄霧
mob,成群襲擊;圍攻
mop,拖洗;擦去
murder,謀殺;兇殺
mushroom,雨後春筍般地湧現
nap,打盹;小睡
nickname,給...起綽號
observe,看到;觀察
occasion,引起;惹起
orphan,使成孤兒
outline,概述;略述
owe,欠(債等);應給予;應該做
pad,填塞;襯填
panic,使恐慌
parade,在...遊行
parcel,分;分配
participate,參加;參與
pause,中止
pave,鋪;築(路等)
paw,(用腳爪等)抓;扒
peak,使尖起;達到高峰;聳起
peel,削去;剝;去(皮;殼等)
peep,窺;偷看
perform,履行;執行;表演; 演奏
permit,允許;許可;准許
persuade,說服;勸服
pickle,醃製;將...做成泡菜
pilot,駕駛(飛機等);帶領;引導
pit,使成凹;挖坑於
pity,憐憫;同情
plug,把...塞住;堵塞
poll,對...進行民意測驗
pollute,污染
pop,發出砰(或啪)的響聲
portion,分配
postpone,延遲;延緩
pour,倒;灌;注
powder,變成粉末;搽粉
pressure,對...施加壓力;迫使
pretend,佯裝;假裝
prevent,防止;預防
process,加工沖洗(膠卷)
profit,得益;獲益
program,為...安排節目;設計電腦程式
promote,推銷(商品等)
punch,用拳猛擊
pursue,追求;從事
quarrel,爭吵
quote,引用;引述
rank,把...分等;把...評級
rate,對...評價
react,作出反應
recognize,識別;認識;承認
recover,尋回;恢復
reduce,減少;縮小;降低
regret,懊悔
relate,有關;涉及
relax,使鬆弛;使鬆懈;放鬆
release,釋放;解放
rely,依靠;依賴
remain,剩下;餘留
remind,提醒
remove,移動;搬開
renew,換新;修補
rent,租
repair,修理
replace,取代;以...代替
represent,象徵;表示
request,請求給予
reserve,儲備;保存;保留
resist,抵抗;反抗;抗拒
respond,作答;回答
restrict,限制;限定;約束
reveal,展現;顯露出
rid,使免除;使擺脫;從...清除
risk,冒...的風險
roar,吼叫;大聲叫喊;狂笑
roast,烤;炙;烘
rob,搶劫
robe,使穿上禮服
rocket,用火箭運載;飛快行進
rot,腐爛;腐壞;腐朽;破損
rough,使不平;使粗糙;草擬;粗魯行事
rumor,謠傳;傳說
rust,生鏽
scatter,使分散;使潰散
schedule,安排;將……列入計畫（或時間）表
scoop,用勺舀;挖空;挖出
scout,偵察;搜索;嘲笑;嘲弄
scream,尖叫;放聲大哭
screw,(用螺釘等)固定;扭歪(臉等)
scrub,用力擦洗;揉
seal,封;密封;蓋章
seek,尋覓
seize,抓住;捉住;沒收;扣押
sew,縫製;縫補
shade,遮蔽;蔽蔭
shadow,使變暗;使陰鬱
shame,使感到羞恥
shampoo,洗(頭髮);洗(地毯等)
shave,刮(鬍子等);修剪
shorten,使變短;縮短
shovel,用鐵鍬挖
shrink,縮短;皺縮
sigh,嘆氣;嘆息
signal,發信號;打信號
sin,犯(罪)
sip,啜飲
skate,溜冰
ski,滑雪
skip,略過;漏掉
slave,奴隸般工作;苦幹
slice,切成薄片
smooth,光滑地;平滑地
snap,突然折斷;用快照拍攝
sorrow,感到悲傷;懊悔;遺憾
spice,加香料於
spill,使溢出;使濺出;使散落
spin,使(陀螺等)旋轉
spit,吐(唾液等)
splash,濺;潑
spoil,寵壞;溺愛
sprain,扭;扭傷
spray,噴灑;噴塗
sprinkle,灑;噴淋;撒
spy,暗中監視
squeeze,榨;擠;壓
stab,刺;戳
staff,給...配備職員
stare,盯;凝視
starve,餓死;餓得慌;渴望
steady,使穩固;使穩定
sting,刺;螫;叮
stir,攪拌;攪動
stitch,縫;繡;編結
strip,剝去;剝光
structure,構造;組織;建造
stuff,裝;填;塞
style,稱呼;命名;設計;使成為時髦
suck,吸;吮;啜
suffer,遭受;經歷;受苦;患病
suggest,建議
sum,計算...的總和
suppose,猜想;以為;假定
surround,圍;圍繞
survey,測量;勘測
suspect,疑有;察覺
swear,發誓;宣誓
sweat,出汗
swell,腫起;腫脹
switch,使轉換;為...轉接(電話)
tack,用平頭釘釘
tag,給...加標籤
tailor,做裁縫
tame,馴化;使軟化
tax,向...課稅
tease,逗弄;取笑;向...強求
tend,走向;趨向;照料
thread,穿(針;線等)
threaten,威脅;恐嚇
tickle,使發癢;逗...笑
tidy,使整潔
tighten,變緊;繃緊
toss,拋;扔;投
tow,拖;拉;牽引
trace,追蹤;描繪
trail,拖;曳
transport,運送;運輸
trash,修剪(樹等)的枯枝殘葉;丟棄
tremble,發抖;震顫
troop,群集;集合
tug,用力拉
tumble,跌倒;滾下
tune,為...調音
tutor,當家庭教師
twist,扭轉;扭彎
unite,統一;使團結
upset,使心煩意亂;翻倒;傾覆
vanish,使不見;使消失
vary,使不同;變更;呈多樣化
wag,搖;搖擺;搖尾巴
waken,醒來;睡醒;喚醒
wander,漫遊;閒逛
warn,警告
wax,給...上蠟
weaken,削弱;減弱
weave,織;編
web,(蜘蛛等)結網於;形成網狀
weed,除掉(雜草)
weep,哭泣;流淚
whip,鞭笞;抽打
whistle,吹口哨;鳴笛
wink,眨(眼)
wipe,擦;揩乾
wrap,包;裹
x-ray,用X光線檢查
yawn,打呵欠
yell,吼叫
zipper,拉上拉鍊
zone,劃出...為區
dare,敢;竟敢
ought,應當;應該
aboard,在船(或飛機;車)上;上船(或飛機;車)
afterward,之後;以後;後來
afterwards,之後;後來
apart,分開地;相間隔地
aside,在旁邊;到(或向)旁邊
badly,壞;拙劣地
bang,砰地;驀地;突然;恰好;正好
barely,僅僅;勉強
due,(置於方位詞前)正
fairly,公平地;公正地
farther,(距離;時間)更遠地;此外
forever,永遠
forth,向前;向前方;向外
hourly,頻繁地;時時
indeed,確實;實在
indoors,在室內;在屋裡
instead,反而;卻
meanwhile,其間;同時
opposite,在對面;在對過
outdoors,在戶外;在野外;在露天;往戶外
plenty,足夠;充分地
pop,突然地
rough,粗糙地;粗略地
seldom,很少地
shortly,立刻;馬上;簡短地;扼要地
someday,將來有一天
somehow,不知怎麼的
sometime,某一時候;日後;改天
somewhat,有點;稍微
steady,穩固地;穩定地
threateningly,威脅地;脅迫地
tight,牢牢地
aboard,上(船;飛機;車);在(船;飛機;車)上
beneath,在...之下
onto,到...之上;向...之上
opposite,在...對面
unless,如果不;除非
accident,事故;災禍
account,帳目;描述
ache,(持續性地)疼痛
achievement,成就
activity,活動
ad,廣告
advantage,優點;優勢;利益
adventure,冒險;冒險活動
advertisement,廣告
advice,忠告
adviser,顧問;指導教授
advisor,adviser
agriculture,農業
alley,小巷;後街
amazement,驚奇;詫異
ambassador,大使
ambition,野心
angel,天使
angle,角度
announcement,宣佈
appeal,呼籲;懇求
approach,靠近;方法;門徑
aquarium,養魚缸;水族館
arithmetic,算術;計算
arrival,到達
ash,灰
athlete,運動員;體育家
attempt,企圖;嘗試
attitude,態度
audience,聽眾
author,作者;作家
auto,汽車
automobile,汽車
avenue,大街;大道
average,平均;平均數
award,獎;獎品
background,背景
bacon,燻豬肉
bacteria,細菌
badminton,羽毛球
baggage,行李
bait,餌
balance,平衡
bandage,繃帶
bang,猛擊;猛撞
barn,穀倉;糧倉
barrel,大桶
bay,海灣
beast,野獸
beggar,乞丐
being,存在;生存;生命;本質
belly,腹部
benefit,利益;好處
berry,莓果
Bible,聖經
billion,十億
bingo,賓果遊戲
biscuit,小麵包
blame,責備;指責;責任
blanket,毯子
blouse,女裝短上衣
boot,長筒靴;靴
border,邊緣;邊境
bore,令人討厭的人(或事物);令人討厭的
brake,煞車
brass,黃銅
bravery,勇敢;勇氣
breast,乳房
breath,呼吸;氣息;微風
breeze,微風
bride,新娘
brook,小河;小溪
broom,掃帚
brow,眉頭;眉毛
bubble,水泡;氣泡
bucket,水桶
bud,葉芽;花蕾;少女
budget,預算
buffalo,水牛
buffet,自助餐
bulb,電燈泡
bull,公牛
bullet,子彈
bump,重擊;猛撞
bunch,串;束
burden,重擔;負擔
burglar,夜賊;破門盜竊者
bush,灌木
buzz,嗡嗡聲
cabin,客艙
campus,校園
cane,藤條;手杖
canoe,皮划
canyon,峽谷
capital,首都;首府;資本
capture,佔領;獲得
carpenter,木工;木匠
carriage,運輸;運費
cast,鑄型;模子;投;擲;拋
caterpillar,履帶牽引車
cattle,牛;牲口;家畜
centimeter,公分
ceramics,製陶業
chain,鏈條;項圈
challenge,挑戰;艱鉅的事
champion,優勝者;冠軍
channel,管道;頻道
chapter,章;回
charm,魅力
chat,閒談;聊天
cheek,臉頰;腮幫子
cheer,喝采;鼓勵
cheese,起司;乳酪
cherry,櫻桃
chest,胸;箱子;盒子
chew,咀嚼
childhood,幼時
chill,寒冷;寒氣
chimney,煙囪
China,中國
chip,晶片;屑片;炸洋芋片;籌碼
choke,窒息;噎
chop,肋骨肉
cigarette,香煙;紙煙
circus,馬戲團
