acceptable,可以接受的;令人滿意的
paw,腳爪;爪子
pay,薪俸;報酬;報償;懲罰
pea,豌豆
peak,山頂;頂端
pearl,珍珠
peel,水果的皮;蔬菜的皮;蝦殼
peep,窺視;偷看;一瞥
penny,便士;一便士硬幣
performance,演出;演奏;表演
permission,允許;許可;同意
permit,許可證;執照
personality,人格;品格
pest,害蟲;有害的植物
pickle,醃黃瓜等的泡菜;鹽滷
pill,藥丸;藥片;(女用)口服避孕藥
pilot,飛機駕駛員
pine,松樹
pint,品脫(英美容量或液量名)
pit,窪坑;凹處;地窖
pity,憐憫;同情;憾事
plastic,塑膠;塑膠製品;信用卡
plenty,豐富;充足;大量
plug,塞子;栓;堵塞物
plum,洋李; 梅子
plumber,管子工;鉛管工
pole,柱;竿
politician,政客
politics,黨派關係;手腕;權術
poll,民意測驗;投票;選舉
pony,矮種馬;小馬
porcelain,瓷;(總稱)瓷器
portion,部分;一部分
portrait,肖像;畫像;相片
postage,郵資;郵費
poster,招貼;海報;廣告(畫)
postponement,延期;延緩
pottery,陶器
poverty,貧窮;貧困
powder,粉
prayer,祈禱;禱告
preparation,準備;預備
pressure,壓力
priest,牧師;神父
process,過程;進程
product,產品
profit,利潤;盈利;收益
program,節目
proof,證據;物證;證明
property,財產;資產
proposal,提議;計劃;提案
protection,保護
pub,酒吧
punch,一種用酒;果汁;香料等調和的飲料
quarrel,爭吵
quote,引文;報價
radar,雷達
rag,破布;抹布;破爛衣衫
raisin,葡萄乾
rank,等級;地位;身分
rate,比率;價格
ray,光線;輻射線
razor,剃刀
reaction,反應;感應
receipt,收據;收條
receiver,受領人;收件人;收款人
recorder,錄影機;錄音機
regret,懊悔;悔恨;抱歉;遺憾;哀悼
release,發行;發表;釋放;解放
relief,緩和;減輕;解除
religion,宗教;宗教信仰
rent,租金;租費
repair,修理
replacement,取代;接替
representative,代表;代理人
republic,共和國;共和政體
request,要求;請求
reserve,儲備物;儲備金;保留物;儲藏量;儲備;保留
resource,資源;物力;財力
response,回答;答覆
responsibility,責任
ribbon,緞帶;絲帶
riddle,謎;謎語
risk,危險;風險
roar,吼;嘯;怒號;喧鬧聲
roast,烘烤;烤肉
robber,搶劫者;強盜
robbery,搶劫;盜取;搶劫案
robe,長袍;浴衣;睡袍;學士服
rocket,飛彈;火箭
romantic,浪漫的人;愛幻想者
rot,腐爛;腐壞;腐敗;墮落
rough,高低不平的地面;粗製品;梗概;草圖
routine,例行公事
rug,小地毯;毛皮地毯
rumor,謠言;謠傳
rust,鏽;鐵鏽
sack,袋;粗布袋
sake,理由;緣故;利益
saucer,淺碟
sausage,香腸;臘腸
saving,挽救;節儉;節約;儲金
scale,尺度;等級;級別
scarecrow,稻草人;威嚇物
scarf,圍巾
scatter,消散;分散
schedule,清單;目錄;時間表;課程表
scholar,學者
scholarship,獎學金
scoop,勺子;戽斗
scout,斥候;童子軍
scream,尖叫;尖銳刺耳的聲音
screw,螺釘;螺絲釘
scrub,擦洗;擦淨
seal,圖章;印信;封
security,安全;保安;保障;證券;債券證券;債券
separation,分開;分離
sex,性別;色情;性交;性慾;性感
shade,蔭;陰涼處;陰暗
shadow,蔭;陰暗處;影子
shame,羞恥;羞愧
shampoo,洗髮精
shave,剃刀;刮鬍刀;修面
shepherd,牧羊人
shovel,鏟子;鐵鍬
sigh,嘆氣;嘆息
signal,信號;暗號;交通指示燈
similarity,類似;相似
sin,罪孽;罪惡
sip,一小口
situation,處境;境遇
skate,冰鞋
ski,滑雪屐
skip,省略
skyscraper,摩天樓
slave,奴隸
sleeve,袖子;袖套
slice,薄片
slope,傾斜;坡度
snap,猛咬;突然折斷;劈啪聲;快照;活力
sore,痛處;瘡;潰瘍;傷心事
sorrow,悲痛;悲哀;悲傷;憂傷
spade,鏟;鍬
spaghetti,義大利麵條
spice,香料;調味品;少許;一點
spill,溢出;濺出;散落
spin,旋轉;自旋
spit,唾液;口水
spite,惡意;心術不良
splash,濺潑聲
sprain,扭傷
spray,浪花;噴霧
sprinkle,稀疏小雨
spy,間諜
squeeze,榨;壓榨
stab,刺;戳;刺破的傷口
stadium,體育場;運動場;球場;競技場
staff,(全體)職員;幕僚
stare,凝視;注視
statue,雕像;塑像
steady,(關係確定的)情侶;固定支架
stepchild,繼子(或繼女)
stepfather,繼父;後父
stepmother,繼母;後母
stereo,立體音響裝置
sting,螫針;刺
stir,撥動;攪拌
stitch,一針;(縫合傷口的)針線;針法
stocking,長襪
stomach,胃
stool,凳子;擱腳凳;解大便
strategy,策略;計謀
strength,力量;力氣
strip,條;帶;脫衣舞
structure,結構;構造;建築物
studio,工作室;畫室;雕塑室;照相館
stuff,材料;原料;物品
style,時尚;風格;文體
substance,物質;主旨;要義
suburb,郊區
suck,吸吮;吸食;一口
suicide,自殺;自殺行為
sum,總和;總計
summary,總結;摘要
summit,頂峰;最高級會議
superior,上司;長官
survey,調查;調查報告
survival,倖存;殘存
survivor,倖存者;生還者
suspect,嫌疑犯;可疑分子
suspicion,懷疑;疑心;猜疑
sweat,汗;汗水
swell,鼓起;膨脹
switch,開關;電閘
sword,劍;刀
system,系統
tablet,藥片;小片
tack,大頭釘;圖釘
tag,標籤
tailor,裁縫師
tap,龍頭;竊聽器
tax,稅;稅金
tease,戲弄;賣弄風騷的女孩
technique,技巧;技術
technology,工藝學;工藝
temper,情緒;脾氣;暴躁
temperature,溫度
territory,領土;版圖
text,正文;本文
theory,學說;論說
thirst,渴;口渴
thread,線
threat,威脅;恐嚇
tickle,呵癢;癢感;使人癢的東西
tide,潮汐;潮水
timber,木材;樹林
tissue,紙巾;面紙;(動植物的)組織
tobacco,菸草;煙葉
ton,噸
tortoise,陸龜;龜;烏龜
toss,擲幣賭勝負
tourism,旅遊;觀光
tourist,旅遊者;觀光者
tow,拖;拉;牽引;拖輪;拖曳車
trace,蹤跡
trader,商人;交易人
trail,拖曳物;尾部
transport,交通工具
trash,垃圾
traveler,旅客;遊客
tray,盤子;托盤
tremble,震顫;發抖
trend,趨勢;傾向;時尚
tribe,部落;種族
troop,軍隊;部隊
trunk,樹幹;大血管
tub,浴缸
tug,牽引;拖曳
tulip,鬱金香
tumble,跌跤;墜落
tummy,肚子
tune,曲調;歌曲
tutor,家庭教師
twig,細枝;嫩枝
twin,孿生兒
twist,扭傷;曲解
typewriter,打字機
union,工會;結合
unity,整體;一貫性
universe,宇宙
upset,翻倒;傾覆
van,有蓋小貨車
variety,多樣化;變化
vase,花瓶
vehicle,車輛;飛行器;傳播媒介;工具
verse,詩;韻文
vest,背心
vice-president,副(總統、校長、總裁等)
victim,受害者
violence,暴力行為
violet,紫蘿蘭
vision,視力;視覺;洞察力
vitamin,維他命
volume,卷;冊
wag,搖擺; 愛說笑打趣的人
wage,薪水;報酬
wages,代價;報償;工資總額
wagon,運貨馬車
wander,遊蕩;徘徊
warmth,溫暖;親切;熱情
wax,蠟;蜂蠟;耳垢
wealth,財富;大量
weave,織法;編法
web,蜘蛛網;網狀物
weed,雜草;野草
weep,哭泣
wheat,小麥
whip,抽打;拍擊
whistle,口哨;警笛
willow,柳
wink,眨眼;瞬間
wipe,擦;揩
wisdom,智慧;才智;名言
wrap,覆蓋物
wrist,手腕
X-ray,X光照片
yawn,呵欠
yell,叫喊;吼叫;歡呼
yolk,蛋黃
youngster,年輕人
zipper,拉鍊
zone,地區;時區;(地)層
